Object Type,Object Name,Control Name,Property Name,Old Value,New Value,Time
"Form","tblOrdDetCustAwngssubform",,"RecordSource","SELECT tblOrdDetCustAwngs.*, tblOrdDetCustAwngs.WorkOrderNo FROM tblOrdDetCustAwngs WHERE (((tblOrdDetCustAwngs.WorkOrderNo)=""forms[WorkOrderDetail]![WorkOrderNo]""));","SELECT tblOrdDetCustAwngs.*, [tblOrdDetCustAwngs].[WorkOrderNo] FROM tblOrdDetCustAwngs WHERE ((([tblOrdDetCustAwngs].[WorkOrderNo])=""forms[WorkOrderDetail]![WorkOrderNo]"")); ",
"Query","Query1",,,"INSERT INTO tblCustWorkOrderDetail ( WorkOrderNo, CustID, Storage, StorageTime, [Rack#], SpecialInstructions, RepairsNeeded, SeeRepair, ReturnStatus, DateCompleted, Clean, Treat, RushOrder, DateRequired, DateIn, ShipTo ) SELECT Table2.WorkOrderNo, Table2.CustID, Table2.Storage, Table2.StorageTime, Table2.[Rack#], Table2.SpecialInstructions, Table2.RepairsNeeded, Table2.SeeRepair, Table2.ReturnStatus, Table2.DateCompleted, Table2.Clean, Table2.Treat, Table2.RushOrder, Table2.DateRequired, Table2.DateIn, Table2.ShipTo FROM Table2; ","INSERT INTO tblCustWorkOrderDetail ( WorkOrderNo, CustID, Storage, StorageTime, [Rack#], SpecialInstructions, RepairsNeeded, SeeRepair, ReturnStatus, DateCompleted, Clean, Treat, RushOrder, DateRequired, DateIn, ShipTo ) SELECT [Table2].[WorkOrderNo], [Table2].[CustID], [Table2].[Storage], [Table2].[StorageTime], [Table2].[Rack#], [Table2].[SpecialInstructions], [Table2].[RepairsNeeded], [Table2].[SeeRepair], [Table2].[ReturnStatus], [Table2].[DateCompleted], [Table2].[Clean], [Table2].[Treat], [Table2].[RushOrder], [Table2].[DateRequired], [Table2].[DateIn], [Table2].[ShipTo] FROM Table2; ",
"Report","InHouseCleanWO",,"RecordSource","SELECT tblCustomers.CustID AS tblCustomers_CustID, tblCustomers.Name, tblCustomers.Contact, tblCustomers.Address, tblCustomers.Address2, tblCustomers.City, tblCustomers.State, tblCustomers.ZipCode, tblCustomers.HomePhone, tblCustomers.WorkPhone, tblCustomers.Source, tblCustomers.SourceAddress, tblCustomers.SourceState, tblCustomers.SourceCity, tblCustomers.SourceZip, tblCustWorkOrderDetail.WorkOrderNo, tblCustWorkOrderDetail.CustID AS tblCustWorkOrderDetail_CustID, tblCustWorkOrderDetail.Storage, tblCustWorkOrderDetail.StorageTime, tblCustWorkOrderDetail.[Rack#], tblCustWorkOrderDetail.SpecialInstructions, tblCustWorkOrderDetail.RepairsNeeded, tblCustWorkOrderDetail.SeeRepair, tblCustWorkOrderDetail.ReturnStatus, tblCustWorkOrderDetail.DateCompleted, tblCustWorkOrderDetail.Clean, tblCustWorkOrderDetail.Treat, tblCustWorkOrderDetail.RushOrder, tblCustWorkOrderDetail.DateRequired, tblCustWorkOrderDetail.ShipTo, tblCustWorkOrderDetail.DateIn FROM tblCustomers INNER JOIN tblCustWorkOrderDetail ON tblCustomers.CustID = tblCustWorkOrderDetail.CustID;","SELECT [tblCustomers].[CustID] AS tblCustomers_CustID, [tblCustomers].[Name], [tblCustomers].[Contact], [tblCustomers].[Address], [tblCustomers].[Address2], [tblCustomers].[City], [tblCustomers].[State], [tblCustomers].[ZipCode], [tblCustomers].[HomePhone], [tblCustomers].[WorkPhone], [tblCustomers].[Source], [tblCustomers].[SourceAddress], [tblCustomers].[SourceState], [tblCustomers].[SourceCity], [tblCustomers].[SourceZip], [tblCustWorkOrderDetail].[WorkOrderNo], [tblCustWorkOrderDetail].[CustID] AS tblCustWorkOrderDetail_CustID, [tblCustWorkOrderDetail].[Storage], [tblCustWorkOrderDetail].[StorageTime], [tblCustWorkOrderDetail].[Rack#], [tblCustWorkOrderDetail].[SpecialInstructions], [tblCustWorkOrderDetail].[RepairsNeeded], [tblCustWorkOrderDetail].[SeeRepair], [tblCustWorkOrderDetail].[ReturnStatus], [tblCustWorkOrderDetail].[DateCompleted], [tblCustWorkOrderDetail].[Clean], [tblCustWorkOrderDetail].[Treat], [tblCustWorkOrderDetail].[RushOrder], [tblCustWorkOrderDetail].[DateRequired], [tblCustWorkOrderDetail].[ShipTo], [tblCustWorkOrderDetail].[DateIn] FROM tblCustomers INNER JOIN tblCustWorkOrderDetail ON [tblCustomers].[CustID]=[tblCustWorkOrderDetail].[CustID]; ",
"Report","InHouseCleanWO",,"RecordSource","SELECT tblCustomers.CustID AS tblCustomers_CustID, tblCustomers.Name, tblCustomers.Contact, tblCustomers.Address, tblCustomers.Address2, tblCustomers.City, tblCustomers.State, tblCustomers.ZipCode, tblCustomers.HomePhone, tblCustomers.WorkPhone, tblCustomers.Source, tblCustomers.SourceAddress, tblCustomers.SourceState, tblCustomers.SourceCity, tblCustomers.SourceZip, tblCustWorkOrderDetail.WorkOrderNo, tblCustWorkOrderDetail.CustID AS tblCustWorkOrderDetail_CustID, tblCustWorkOrderDetail.Storage, tblCustWorkOrderDetail.StorageTime, tblCustWorkOrderDetail.[Rack#], tblCustWorkOrderDetail.SpecialInstructions, tblCustWorkOrderDetail.RepairsNeeded, tblCustWorkOrderDetail.SeeRepair, tblCustWorkOrderDetail.ReturnStatus, tblCustWorkOrderDetail.DateCompleted, tblCustWorkOrderDetail.Clean, tblCustWorkOrderDetail.Treat, tblCustWorkOrderDetail.RushOrder, tblCustWorkOrderDetail.DateRequired, tblCustWorkOrderDetail.ShipTo, tblCustWorkOrderDetail.DateIn FROM tblCustomers INNER JOIN tblCustWorkOrderDetail ON tblCustomers.CustID = tblCustWorkOrderDetail.CustID;","SELECT [tblCustomers].[CustID] AS tblCustomers_CustID, [tblCustomers].[Name], [tblCustomers].[Contact], [tblCustomers].[Address], [tblCustomers].[Address2], [tblCustomers].[City], [tblCustomers].[State], [tblCustomers].[ZipCode], [tblCustomers].[HomePhone], [tblCustomers].[WorkPhone], [tblCustomers].[Source], [tblCustomers].[SourceAddress], [tblCustomers].[SourceState], [tblCustomers].[SourceCity], [tblCustomers].[SourceZip], [tblCustWorkOrderDetail].[WorkOrderNo], [tblCustWorkOrderDetail].[CustID] AS tblCustWorkOrderDetail_CustID, [tblCustWorkOrderDetail].[Storage], [tblCustWorkOrderDetail].[StorageTime], [tblCustWorkOrderDetail].[Rack#], [tblCustWorkOrderDetail].[SpecialInstructions], [tblCustWorkOrderDetail].[RepairsNeeded], [tblCustWorkOrderDetail].[SeeRepair], [tblCustWorkOrderDetail].[ReturnStatus], [tblCustWorkOrderDetail].[DateCompleted], [tblCustWorkOrderDetail].[Clean], [tblCustWorkOrderDetail].[Treat], [tblCustWorkOrderDetail].[RushOrder], [tblCustWorkOrderDetail].[DateRequired], [tblCustWorkOrderDetail].[ShipTo], [tblCustWorkOrderDetail].[DateIn] FROM tblCustomers INNER JOIN tblCustWorkOrderDetail ON [tblCustomers].[CustID]=[tblCustWorkOrderDetail].[CustID]; ",
"Form","tblOrdDetCustAwngssubform","Description","RowSource","SELECT DISTINCTROW [tblCustAwngs].[Description], [tblCustAwngs].[Qty], [tblCustAwngs].[Material], [tblCustAwngs].[Color], [tblCustAwngs].[SizeWgt], [tblCustAwngs].[Condition], [tblCustAwngs].[Price] FROM tblCustAwngs WHERE ((([tblCustAwngs].[CustID])=[forms]![workorderdetail]![custid]));","SELECT DISTINCTROW [tblCustAwngs].[Description], [tblCustAwngs].[Qty], [tblCustAwngs].[Material], [tblCustAwngs].[Color], [tblCustAwngs].[SizeWgt], [tblCustAwngs].[Condition], [tblCustAwngs].[Price] FROM tblCustAwngs WHERE ((([tblCustAwngs].[CustID])=[forms]![workorderdetail]![custid])); ",
"Form","tblOrdDetCustAwngssubform","Description","RowSource","SELECT DISTINCTROW tblCustAwngs.Description, tblCustAwngs.Material, tblCustAwngs.Color, tblCustAwngs.SizeWgt, tblCustAwngs.Condition, tblCustAwngs.Price FROM tblCustAwngs WHERE (((tblCustAwngs.CustID)=[forms]![workorderdetail]![custid]));","SELECT DISTINCTROW [tblCustAwngs].[Description], [tblCustAwngs].[Material], [tblCustAwngs].[Color], [tblCustAwngs].[SizeWgt], [tblCustAwngs].[Condition], [tblCustAwngs].[Price] FROM tblCustAwngs WHERE ((([tblCustAwngs].[CustID])=[forms]![workorderdetail]![custid])); ",
"Table","tblOrdDetCustAwngs","Description","RowSource","SELECT tblCustAwngs.Description, tblCustAwngs.CustID, tblCustAwngs.Qty, tblCustAwngs.Material, tblCustAwngs.Color, tblCustAwngs.SizeWgt, tblCustAwngs.Condition, tblCustAwngs.Price FROM tblCustAwngs;","SELECT [tblCustAwngs].[Description], [tblCustAwngs].[CustID], [tblCustAwngs].[Qty], [tblCustAwngs].[Material], [tblCustAwngs].[Color], [tblCustAwngs].[SizeWgt], [tblCustAwngs].[Condition], [tblCustAwngs].[Price] FROM tblCustAwngs; ",
"Form","tblCustAwngsQuerysubform",,"RecordSource","SELECT [tblCustAwngsQuery].[Qty], [tblCustAwngsQuery].[Description], [tblCustAwngsQuery].[Material], [tblCustAwngsQuery].[Color], [tblCustAwngsQuery].[SizeWgt], [tblCustAwngsQuery].[Condition], [tblCustAwngsQuery].[Price] FROM [tblCustAwngsQuery]","SELECT [tblCustAwngsQuery].[Qty], [tblCustAwngsQuery].[Description], [tblCustAwngsQuery].[Material], [tblCustAwngsQuery].[Color], [tblCustAwngsQuery].[SizeWgt], [tblCustAwngsQuery].[Condition], [tblCustAwngsQuery].[Price] FROM tblCustAwngsQuery; ",
"Form","tblOrdDetCustAwngssubform",,"RecordSource","SELECT tblOrdDetCustAwngs.* FROM tblOrdDetCustAwngs;","SELECT tblOrdDetCustAwngs.* FROM tblOrdDetCustAwngs; ",
"Form","tblCustAwngs subform",,"RecordSource","SELECT [tblCustAwngs].[CustID], [tblCustAwngs].[Qty], [tblCustAwngs].[Description], [tblCustAwngs].[Material], [tblCustAwngs].[Color], [tblCustAwngs].[SizeWgt], [tblCustAwngs].[Condition], [tblCustAwngs].[Price] FROM [tblCustAwngs]","SELECT [tblCustAwngs].[CustID], [tblCustAwngs].[Qty], [tblCustAwngs].[Description], [tblCustAwngs].[Material], [tblCustAwngs].[Color], [tblCustAwngs].[SizeWgt], [tblCustAwngs].[Condition], [tblCustAwngs].[Price] FROM tblCustAwngs; ",
"Form","tblOrdDetCustAwngssubform","Description","RowSource","SELECT DISTINCTROW [tblCustAwngs].[Description], [tblCustAwngs].[Material], [tblCustAwngs].[Color], [tblCustAwngs].[SizeWgt], [tblCustAwngs].[Condition], [tblCustAwngs].[Price] FROM tblCustAwngs WHERE ((([tblCustAwngs].[CustID])=[forms]![workorderdetail]![custid]));","SELECT DISTINCTROW [tblCustAwngs].[Description], [tblCustAwngs].[Material], [tblCustAwngs].[Color], [tblCustAwngs].[SizeWgt], [tblCustAwngs].[Condition], [tblCustAwngs].[Price] FROM tblCustAwngs WHERE ((([tblCustAwngs].[CustID])=[forms]![workorderdetail]![custid])); ",
"Form","tblOrdDetCustAwngs subform",,"RecordSource","SELECT [tblOrdDetCustAwngs].[Qty], [tblOrdDetCustAwngs].[Description], [tblOrdDetCustAwngs].[Material], [tblOrdDetCustAwngs].[Color], [tblOrdDetCustAwngs].[SizeWgt], [tblOrdDetCustAwngs].[Condition], [tblOrdDetCustAwngs].[Price] FROM [tblOrdDetCustAwngs]","SELECT [tblOrdDetCustAwngs].[Qty], [tblOrdDetCustAwngs].[Description], [tblOrdDetCustAwngs].[Material], [tblOrdDetCustAwngs].[Color], [tblOrdDetCustAwngs].[SizeWgt], [tblOrdDetCustAwngs].[Condition], [tblOrdDetCustAwngs].[Price] FROM tblOrdDetCustAwngs; ",
"Form","tblCustAwngssubform",,"RecordSource","SELECT [tblCustAwngs].[CustID], [tblCustAwngs].[Qty], [tblCustAwngs].[Description], [tblCustAwngs].[Material], [tblCustAwngs].[Color], [tblCustAwngs].[SizeWgt], [tblCustAwngs].[Condition], [tblCustAwngs].[Price] FROM [tblCustAwngs]","SELECT [tblCustAwngs].[CustID], [tblCustAwngs].[Qty], [tblCustAwngs].[Description], [tblCustAwngs].[Material], [tblCustAwngs].[Color], [tblCustAwngs].[SizeWgt], [tblCustAwngs].[Condition], [tblCustAwngs].[Price] FROM tblCustAwngs; ",
"Query","qryCustAwng",,,"SELECT tblCustAwngs.Qty, tblCustAwngs.Description, tblCustAwngs.Material, tblCustAwngs.Color, tblCustAwngs.SizeWgt, tblCustAwngs.Condition, tblCustAwngs.Price, tblCustAwngs.CustID FROM tblCustAwngs; ","SELECT [tblCustAwngs].[Qty], [tblCustAwngs].[Description], [tblCustAwngs].[Material], [tblCustAwngs].[Color], [tblCustAwngs].[SizeWgt], [tblCustAwngs].[Condition], [tblCustAwngs].[Price], [tblCustAwngs].[CustID] FROM tblCustAwngs; ",
"Form","tblCustAwngsQuerysubform",,"RecordSource","SELECT [tblCustAwngsQuery].[Qty], [tblCustAwngsQuery].[Description], [tblCustAwngsQuery].[Material], [tblCustAwngsQuery].[Color], [tblCustAwngsQuery].[SizeWgt], [tblCustAwngsQuery].[Condition], [tblCustAwngsQuery].[Price] FROM tblCustAwngsQuery; ","SELECT [qryCustAwng].[Qty], [qryCustAwng].[Description], [qryCustAwng].[Material], [qryCustAwng].[Color], [qryCustAwng].[SizeWgt], [qryCustAwng].[Condition], [qryCustAwng].[Price] FROM qryCustAwng; ",
"Form","tblOrdDetCustAwngssubform","Description","RowSource","SELECT DISTINCTROW [tblCustAwngs].[Description], [tblCustAwngs].[Material], [tblCustAwngs].[Color], [tblCustAwngs].[SizeWgt], [tblCustAwngs].[Condition], [tblCustAwngs].[Price] FROM tblCustAwngs WHERE ((([tblCustAwngs].[CustID])=[forms]![workorderdetail]![custid]));","SELECT DISTINCTROW [tblCustAwngs].[Description], [tblCustAwngs].[Material], [tblCustAwngs].[Color], [tblCustAwngs].[SizeWgt], [tblCustAwngs].[Condition], [tblCustAwngs].[Price] FROM tblCustAwngs WHERE ((([tblCustAwngs].[CustID])=[forms]![workorderdetail]![custid])); ",
"Form","WorkOrderDetail","tblOrdDetCustAwngs subform","SourceObject","Form.tblOrdDetCustAwngs subform","Form.tblOrdDetCustAwngssubform",
"Form","tblOrdDetCustAwngssubform",,"RecordSource","SELECT [tblOrdDetCustAwngs].[Qty], [tblOrdDetCustAwngs].[Description], [tblOrdDetCustAwngs].[Material], [tblOrdDetCustAwngs].[Color], [tblOrdDetCustAwngs].[SizeWgt], [tblOrdDetCustAwngs].[Condition], [tblOrdDetCustAwngs].[Price] FROM [tblOrdDetCustAwngs]","SELECT [tblOrdDetCustAwngs].[Qty], [tblOrdDetCustAwngs].[Description], [tblOrdDetCustAwngs].[Material], [tblOrdDetCustAwngs].[Color], [tblOrdDetCustAwngs].[SizeWgt], [tblOrdDetCustAwngs].[Condition], [tblOrdDetCustAwngs].[Price] FROM tblOrdDetCustAwngs; ",
"Form","WorkOrderDetail","tblCustAwngsQuerysubform","SourceObject","Form.tblCustAwngsQuerysubform","Form.qryCustAwngsQuerysubform",
"Form","tblOrdDetCustAwngssubform","Description","RowSource","SELECT DISTINCTROW tblCustAwngs.* FROM tblCustAwngs WHERE (((tblCustAwngs.CustID)=[forms]![workorderdetail]![custid]));","SELECT DISTINCTROW tblCustAwngs.* FROM tblCustAwngs WHERE ((([tblCustAwngs].[CustID])=[forms]![workorderdetail]![custid])); ",
"Table","tblOrdDetCustAwngs","Description","RowSource","SELECT tblCustAwngs.* FROM tblCustAwngs;","SELECT tblCustAwngs.* FROM tblCustAwngs; ",
"Table","tblOrdDetCustAwngs","Description","RowSource","SELECT tblCustAwngs.*, tblCustAwngs.Description FROM tblCustAwngs;","SELECT tblCustAwngs.*, [tblCustAwngs].[Description] FROM tblCustAwngs; ",
"Table","tblOrdDetCustAwngs","Description","RowSource","SELECT tblCustAwngs.Description, tblCustAwngs.* FROM tblCustAwngs;","SELECT [tblCustAwngs].[Description], tblCustAwngs.* FROM tblCustAwngs; ",
"Form","tblOrdDetCustAwngssubform","Description","RowSource","SELECT DISTINCTROW tblCustAwngs.* FROM tblCustAwngs WHERE ((([tblCustAwngs].[CustID])=[forms]![workorderdetail]![custid]));","SELECT DISTINCTROW tblCustAwngs.* FROM tblCustAwngs WHERE ((([tblCustAwngs].[CustID])=[forms]![workorderdetail]![custid])); ",
"Report","InHouseCleanWO",,"RecordSource","SELECT [tblCustomers].[CustID] AS tblCustomers_CustID, [tblCustomers].[CompanyName], [tblCustomers].[Contact], [tblCustomers].[Address], [tblCustomers].[Address2], [tblCustomers].[City], [tblCustomers].[State], [tblCustomers].[ZipCode], [tblCustomers].[HomePhone], [tblCustomers].[WorkPhone], [tblCustomers].[MailAddress], [tblCustomers].[MailCity], [tblCustomers].[MailState], [tblCustomers].[MailZip], [tblCustomers].[ShipAddress], [tblCustomers].[ShipState], [tblCustomers].[ShipCity], [tblCustomers].[ShipZip], [tblCustWorkOrderDetail].[WorkOrderNo], [tblCustWorkOrderDetail].[CustID] AS tblCustWorkOrderDetail_CustID, [tblCustWorkOrderDetail].[Storage], [tblCustWorkOrderDetail].[Condition], [tblCustWorkOrderDetail].[StorageTime], [tblCustWorkOrderDetail].[Rack#], [tblCustWorkOrderDetail].[SpecialInstructions], [tblCustWorkOrderDetail].[RepairsNeeded], [tblCustWorkOrderDetail].[SeeRepair], [tblCustWorkOrderDetail].[ReturnStatus], [tblCustWorkOrderDetail].[DateCompleted], [tblCustWorkOrderDetail].[Clean], [tblCustWorkOrderDetail].[Treat], [tblCustWorkOrderDetail].[RushOrder], [tblCustWorkOrderDetail].[DateRequired] FROM tblCustomers INNER JOIN tblCustWorkOrderDetail ON [tblCustomers].[CustID]=[tblCustWorkOrderDetail].[CustID]; ","SELECT [tblCustomers].[CustID] AS tblCustomers_CustID, [tblCustomers].[Name], [tblCustomers].[Contact], [tblCustomers].[Address], [tblCustomers].[Address2], [tblCustomers].[City], [tblCustomers].[State], [tblCustomers].[ZipCode], [tblCustomers].[HomePhone], [tblCustomers].[WorkPhone], [tblCustomers].[MailAddress], [tblCustomers].[MailCity], [tblCustomers].[MailState], [tblCustomers].[MailZip], [tblCustomers].[ShipAddress], [tblCustomers].[ShipState], [tblCustomers].[ShipCity], [tblCustomers].[ShipZip], [tblCustWorkOrderDetail].[WorkOrderNo], [tblCustWorkOrderDetail].[CustID] AS tblCustWorkOrderDetail_CustID, [tblCustWorkOrderDetail].[Storage], [tblCustWorkOrderDetail].Condition, [tblCustWorkOrderDetail].[StorageTime], [tblCustWorkOrderDetail].[Rack#], [tblCustWorkOrderDetail].[SpecialInstructions], [tblCustWorkOrderDetail].[RepairsNeeded], [tblCustWorkOrderDetail].[SeeRepair], [tblCustWorkOrderDetail].[ReturnStatus], [tblCustWorkOrderDetail].[DateCompleted], [tblCustWorkOrderDetail].[Clean], [tblCustWorkOrderDetail].[Treat], [tblCustWorkOrderDetail].[RushOrder], [tblCustWorkOrderDetail].[DateRequired] FROM tblCustomers INNER JOIN tblCustWorkOrderDetail ON [tblCustomers].[CustID]=[tblCustWorkOrderDetail].[CustID]; ",
"Table","tblOrdDetCustAwngs","Description","RowSource","SELECT tblCustAwngs.CustID, tblCustAwngs.Qty, tblCustAwngs.Description, tblCustAwngs.Material, tblCustAwngs.Color, tblCustAwngs.SizeWgt, tblCustAwngs.Condition, tblCustAwngs.Price FROM tblCustAwngs;","SELECT [tblCustAwngs].[CustID], [tblCustAwngs].[Qty], [tblCustAwngs].[Description], [tblCustAwngs].[Material], [tblCustAwngs].[Color], [tblCustAwngs].[SizeWgt], [tblCustAwngs].[Condition], [tblCustAwngs].[Price] FROM tblCustAwngs; ",
"Report","InHouseCleanWO",,"RecordSource","SELECT [tblCustomers].[CustID] AS tblCustomers_CustID, [tblCustomers].[CompanyName], [tblCustomers].[Contact], [tblCustomers].[Address], [tblCustomers].[Address2], [tblCustomers].[City], [tblCustomers].[State], [tblCustomers].[ZipCode], [tblCustomers].[HomePhone], [tblCustomers].[WorkPhone], [tblCustomers].[MailAddress], [tblCustomers].[MailCity], [tblCustomers].[MailState], [tblCustomers].[MailZip], [tblCustomers].[ShipAddress], [tblCustomers].[ShipState], [tblCustomers].[ShipCity], [tblCustomers].[ShipZip], [tblCustWorkOrderDetail].[WorkOrderNo], [tblCustWorkOrderDetail].[CustID] AS tblCustWorkOrderDetail_CustID, [tblCustWorkOrderDetail].[Storage], [tblCustWorkOrderDetail].[Condition], [tblCustWorkOrderDetail].[StorageTime], [tblCustWorkOrderDetail].[Rack#], [tblCustWorkOrderDetail].[SpecialInstructions], [tblCustWorkOrderDetail].[RepairsNeeded], [tblCustWorkOrderDetail].[SeeRepair], [tblCustWorkOrderDetail].[ReturnStatus], [tblCustWorkOrderDetail].[DateCompleted], [tblCustWorkOrderDetail].[Clean], [tblCustWorkOrderDetail].[Treat], [tblCustWorkOrderDetail].[RushOrder], [tblCustWorkOrderDetail].[DateRequired] FROM tblCustomers INNER JOIN tblCustWorkOrderDetail ON [tblCustomers].[CustID]=[tblCustWorkOrderDetail].[CustID]; ","SELECT [tblCustomers].[CustID] AS tblCustomers_CustID, [tblCustomers].[Name], [tblCustomers].[Contact], [tblCustomers].[Address], [tblCustomers].[Address2], [tblCustomers].[City], [tblCustomers].[State], [tblCustomers].[ZipCode], [tblCustomers].[HomePhone], [tblCustomers].[WorkPhone], [tblCustomers].[MailAddress], [tblCustomers].[MailCity], [tblCustomers].[MailState], [tblCustomers].[MailZip], [tblCustomers].[ShipAddress], [tblCustomers].[ShipState], [tblCustomers].[ShipCity], [tblCustomers].[ShipZip], [tblCustWorkOrderDetail].[WorkOrderNo], [tblCustWorkOrderDetail].[CustID] AS tblCustWorkOrderDetail_CustID, [tblCustWorkOrderDetail].[Storage], [tblCustWorkOrderDetail].Condition, [tblCustWorkOrderDetail].[StorageTime], [tblCustWorkOrderDetail].[Rack#], [tblCustWorkOrderDetail].[SpecialInstructions], [tblCustWorkOrderDetail].[RepairsNeeded], [tblCustWorkOrderDetail].[SeeRepair], [tblCustWorkOrderDetail].[ReturnStatus], [tblCustWorkOrderDetail].[DateCompleted], [tblCustWorkOrderDetail].[Clean], [tblCustWorkOrderDetail].[Treat], [tblCustWorkOrderDetail].[RushOrder], [tblCustWorkOrderDetail].[DateRequired] FROM tblCustomers INNER JOIN tblCustWorkOrderDetail ON [tblCustomers].[CustID]=[tblCustWorkOrderDetail].[CustID]; ",
